path,dft_dissociation_eng,Reaxff_dissociation_eng,error
0.1249_1.4116_9.2705/NH3-0.5,594.8509626669336,239.28991,355.5610526669336
0.1249_1.4116_9.2705/NH3-0.75,66.46577631773903,56.12131999999997,10.34445631773906
0.1249_1.4116_9.2705/NH3-0.7,108.2660200290348,78.70715000000001,29.558870029034793
0.1249_1.4116_9.2705/NH3-0.9,8.38716024526101,13.687529999999981,5.300369754738972
0.1249_1.4116_9.2705/NH3-1.0,0.0127190426709058,0.8692300000000159,0.8565109573291101
0.1249_1.4116_9.2705/NH3-1.0201,-1.837973400000692e-06,0.0,1.837973400000692e-06
0.1249_1.4116_9.2705/NH3-1.1,3.251163537192885,-1.109390000000019,4.360553537192904
0.1249_1.4116_9.2705/NH3-1.25,18.462204345541,12.433179999999993,6.029024345541007
0.1249_1.4116_9.2705/NH3-1.3,24.95469905670926,19.776380000000017,5.178319056709242
0.1249_1.4116_9.2705/NH3-1.5,52.15125031348217,51.30451999999997,0.8467303134822046
0.1249_1.4116_9.2705/NH3-2.0,110.09630005176216,108.70059,1.3957100517621512
0.1249_1.4116_9.2705/NH3-2.5,146.99618364231097,112.21788000000001,34.77830364231096
0.1249_1.4116_9.2705/NH3-3.0,168.70553079501644,112.72151,55.98402079501645
