H-O-N-angle,dissociation energy
H-O-N-70,24.462007824581008
H-O-N-80,12.03169508948558
H-O-N-90,3.8791389809585324
H-O-N-100,0.23546798758491855
H-O-N-103.3428,0.0
H-O-N-110,0.8924438752292116
H-O-N-120,5.265936598101948
H-O-N-130,12.641720606927562
H-O-N-140,21.99122086155937
H-O-N-150,31.97638964457317
H-O-N-170,47.18509028298481
