path,dft_dissociation_eng,Reaxff_dissociation_eng,error
0.0283_1.2885_10.9190/H-N-O-70.0,31.574977195623266,46.15089999999998,14.575922804376713
0.0283_1.2885_10.9190/H-N-O-80.0,15.779422820522283,23.735180000000014,7.955757179477731
0.0283_1.2885_10.9190/H-N-O-90.0,5.447937136037407,7.457580000000007,2.0096428639626005
0.0283_1.2885_10.9190/H-N-O-100.0,0.5506009943263128,0.19004000000001042,0.3605609943263024
0.0283_1.2885_10.9190/H-N-O-104.746,0.0,0.0,0.0
0.0283_1.2885_10.9190/H-N-O-110.0,0.6509061964087469,1.887329999999963,1.236423803591216
0.0283_1.2885_10.9190/H-N-O-120.0,5.220196850888961,10.241359999999986,5.021163149111025
0.0283_1.2885_10.9190/H-N-O-130.0,13.6558664058021,22.13925999999998,8.483393594197878
0.0283_1.2885_10.9190/H-N-O-140.0,25.246424495585995,34.872149999999976,9.625725504413982
0.0283_1.2885_10.9190/H-N-O-150.0,39.05723088174566,47.517179999999996,8.459949118254336
0.0283_1.2885_10.9190/H-N-O-160.0,53.72280747253366,62.184109999999976,8.461302527466316
0.0283_1.2885_10.9190/H-N-O-170.0,67.24650470043997,81.23417999999998,13.98767529956001
